location_id,borough,zone_name,latitude,longitude
1,Manhattan,Zone_1,40.7797808801881,-73.96238702026231
2,Manhattan,Zone_2,40.78053979608568,-73.99016295072688
3,Manhattan,Zone_3,40.78513191610298,-73.96287408709527
4,Manhattan,Zone_4,40.801781193560544,-73.96931071003297
5,Manhattan,Zone_5,40.77197972684359,-73.9563707077529
6,Manhattan,Zone_6,40.79881440605744,-73.97792080778795
7,Manhattan,Zone_7,40.76615233157496,-73.96000324831039
8,Manhattan,Zone_8,40.79803717611167,-73.95245837348716
9,Manhattan,Zone_9,40.76351496615543,-73.97112501631405
10,Manhattan,Zone_10,40.79395282573067,-73.99036992202562
11,Manhattan,Zone_11,40.77031078755507,-73.9904209903405
12,Manhattan,Zone_12,40.769266513695186,-73.96159801213938
13,Manhattan,Zone_13,40.79420809642295,-73.9816983511986
14,Manhattan,Zone_14,40.78365773375091,-73.96027339791682
15,Manhattan,Zone_15,40.79705270789074,-73.98404416300316
16,Manhattan,Zone_16,40.77203164316614,-73.97027346634397
17,Manhattan,Zone_17,40.77488660010748,-73.96997652977578
18,Manhattan,Zone_18,40.78911496966958,-73.9709818650506
19,Manhattan,Zone_19,40.767001344069975,-73.960750011333
20,Manhattan,Zone_20,40.786625232043086,-73.95529145088362
21,Manhattan,Zone_21,40.76504899523236,-73.97963561360841
22,Manhattan,Zone_22,40.77143842149435,-73.97193275752946
23,Manhattan,Zone_23,40.78379191535386,-73.9533214958474
24,Manhattan,Zone_24,40.80150069213344,-73.963219518002
25,Manhattan,Zone_25,40.79790496546509,-73.9679089228531
26,Manhattan,Zone_26,40.775417398105,-73.97042434082779
27,Manhattan,Zone_27,40.78012885642075,-73.95861665038021
28,Manhattan,Zone_28,40.79226054969156,-73.9687504159069
29,Manhattan,Zone_29,40.7976503994228,-73.9798037613909
30,Manhattan,Zone_30,40.788865741442734,-73.9759700604146
31,Manhattan,Zone_31,40.77454215286642,-73.95287577733923
32,Manhattan,Zone_32,40.79745557069172,-73.97629155380099
33,Manhattan,Zone_33,40.773040405097504,-73.97320098315797
34,Manhattan,Zone_34,40.764642467235255,-73.95999598157901
35,Manhattan,Zone_35,40.78142219792896,-73.9788660157214
36,Manhattan,Zone_36,40.79224028766382,-73.96713543150518
37,Manhattan,Zone_37,40.80087986411429,-73.97263607302781
38,Manhattan,Zone_38,40.77849092478067,-73.95681168613638
39,Manhattan,Zone_39,40.78497556624581,-73.9592840391487
40,Manhattan,Zone_40,40.77940748112321,-73.98898535839552
41,Manhattan,Zone_41,40.7731369449498,-73.98935616717309
42,Manhattan,Zone_42,40.77808160475389,-73.9531714277436
43,Manhattan,Zone_43,40.76770218265559,-73.96683733842882
44,Manhattan,Zone_44,40.79649368594662,-73.98700815582521
45,Manhattan,Zone_45,40.80266046053902,-73.9692182109262
46,Manhattan,Zone_46,40.79445329403223,-73.96580665175789
47,Manhattan,Zone_47,40.76763953887574,-73.95222067622254
48,Manhattan,Zone_48,40.763799610837246,-73.95553706931278
49,Manhattan,Zone_49,40.775138578234234,-73.98131752672153
50,Manhattan,Zone_50,40.78288406582152,-73.98207667582203
51,Manhattan,Zone_51,40.79012925662014,-73.98941151271188
52,Manhattan,Zone_52,40.79602441362839,-73.9901552807372
53,Manhattan,Zone_53,40.796966496288405,-73.9687533783894
54,Manhattan,Zone_54,40.77990731868563,-73.9766704201214
55,Manhattan,Zone_55,40.76682433146687,-73.9523337632004
56,Manhattan,Zone_56,40.8024676740217,-73.97786350935941
57,Manhattan,Zone_57,40.766593985716085,-73.98198091601793
58,Manhattan,Zone_58,40.7777042233209,-73.97315176336426
59,Manhattan,Zone_59,40.80006140462297,-73.9848851767786
60,Manhattan,Zone_60,40.77513493320186,-73.98372216734631
61,Brooklyn,Zone_61,40.69117877903653,-73.95694601070011
62,Brooklyn,Zone_62,40.65955018841692,-73.94463569968137
63,Brooklyn,Zone_63,40.68035764090002,-73.94835008425179
64,Brooklyn,Zone_64,40.67336394101735,-73.94151607331281
65,Brooklyn,Zone_65,40.666945802005884,-73.9629438912199
66,Brooklyn,Zone_66,40.664371503125246,-73.958852017572
67,Brooklyn,Zone_67,40.680034057197396,-73.92984573557634
68,Brooklyn,Zone_68,40.66857485879793,-73.96246555795352
69,Brooklyn,Zone_69,40.67004996646689,-73.93183729137306
70,Brooklyn,Zone_70,40.69529922154476,-73.92930294822362
71,Brooklyn,Zone_71,40.66562301099274,-73.94873602787831
72,Brooklyn,Zone_72,40.662469528090206,-73.93682629466885
73,Brooklyn,Zone_73,40.68390759663144,-73.94265516276124
74,Brooklyn,Zone_74,40.66628809173721,-73.93281809583557
75,Brooklyn,Zone_75,40.68095760880477,-73.96156143089642
76,Brooklyn,Zone_76,40.67063319199025,-73.93144051117125
77,Brooklyn,Zone_77,40.694964361271964,-73.93851217600304
78,Brooklyn,Zone_78,40.66012724910001,-73.93696147944529
79,Brooklyn,Zone_79,40.67822672505361,-73.94547730296208
80,Brooklyn,Zone_80,40.679076628660006,-73.93622374531941
81,Brooklyn,Zone_81,40.6724167647122,-73.95056604493243
82,Brooklyn,Zone_82,40.66920902679205,-73.93863076956299
83,Brooklyn,Zone_83,40.668481697084204,-73.93684849667716
84,Brooklyn,Zone_84,40.66004163974526,-73.94939030735537
85,Brooklyn,Zone_85,40.68301495258213,-73.94384187725417
86,Brooklyn,Zone_86,40.666304278145155,-73.95591627583755
87,Brooklyn,Zone_87,40.684450567409314,-73.92600394492347
88,Brooklyn,Zone_88,40.68410204197412,-73.94391401247147
89,Brooklyn,Zone_89,40.67818777281875,-73.95396251462753
90,Brooklyn,Zone_90,40.664322167950644,-73.95789257355962
91,Brooklyn,Zone_91,40.66624014384472,-73.9510391813403
92,Brooklyn,Zone_92,40.6936352199775,-73.93265673732785
93,Brooklyn,Zone_93,40.682454173511054,-73.93789953725528
94,Brooklyn,Zone_94,40.68697543144975,-73.93991115297511
95,Brooklyn,Zone_95,40.66735213950227,-73.95657247925503
96,Brooklyn,Zone_96,40.66678747556067,-73.92781990514632
97,Brooklyn,Zone_97,40.69167776497058,-73.92539056592238
98,Brooklyn,Zone_98,40.687490689922754,-73.94151243938197
99,Brooklyn,Zone_99,40.68509114234523,-73.94467686403037
100,Brooklyn,Zone_100,40.67993619767164,-73.95306522459624
101,Brooklyn,Zone_101,40.6788559451081,-73.94137329652527
102,Brooklyn,Zone_102,40.68210726339744,-73.9371605238251
103,Brooklyn,Zone_103,40.67548444822403,-73.95723138947204
104,Brooklyn,Zone_104,40.66411682497392,-73.95506806572
105,Brooklyn,Zone_105,40.66154959695585,-73.95085974830083
106,Brooklyn,Zone_106,40.658542591909935,-73.92602773307672
107,Brooklyn,Zone_107,40.6647081983778,-73.93400876489395
